Gene;start;end;strand;gene_name;operon;COG;accession
LMB90_RS09620;38003;39775;-;LMB90_RS09620;Op915;Carbohydrate Transport & Metabolism;NZ_JAJGVJ010000068.1
LMB90_RS09720;63385;64623;#ERROR!;LMB90_RS09720;Op1326;Carbohydrate Transport & Metabolism;NZ_JAJGVJ010000068.1
LMB90_RS09740;67222;70866;#ERROR!;LMB90_RS09740;Op1383;Carbohydrate Transport & Metabolism;NZ_JAJGVJ010000068.1
LMB90_RS09835;15514;16890;#ERROR!;rlmD;Op442;Carbohydrate Transport & Metabolism;NZ_JAJGVJ010000069.1
LMB90_RS10050;54428;54637;-;LMB90_RS10050;Op1191;Carbohydrate Transport & Metabolism;NZ_JAJGVJ010000069.1
LMB90_RS10135;72414;73532;#ERROR!;glf;Op1460;Carbohydrate Transport & Metabolism;NZ_JAJGVJ010000069.1
LMB90_RS10245;98661;100130;-;LMB90_RS10245;Op1742;Carbohydrate Transport & Metabolism;NZ_JAJGVJ010000069.1
LMB90_RS00805;74985;75809;-;LMB90_RS00805;Op1498;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000030.1
LMB90_RS00850;84144;86525;#ERROR!;ppsA;Op1609;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000030.1
LMB90_RS00925;113208;114734;-;dltA;Op1840;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000030.1
LMB90_RS01295;22099;23118;#ERROR!;LMB90_RS01295;Op589;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01300;23115;23612;#ERROR!;LMB90_RS01300;Op615;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01305;23602;24819;#ERROR!;LMB90_RS01305;Op626;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01310;24798;25289;#ERROR!;mobB;Op648;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01315;25286;25858;#ERROR!;LMB90_RS01315;Op661;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01345;29335;30243;#ERROR!;LMB90_RS01345;Op737;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01355;31548;31793;-;LMB90_RS01355;Op783;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01360;31793;32149;-;LMB90_RS01360;Op789;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01375;33759;34535;#ERROR!;LMB90_RS01375;Op834;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01410;41350;42159;#ERROR!;thiM;Op975;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01415;42152;42970;#ERROR!;thiD;Op988;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01420;42967;43626;#ERROR!;thiE;Op1005;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01495;14426;15151;#ERROR!;pnuC;Op416;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000044.1
LMB90_RS01505;16536;17834;#ERROR!;LMB90_RS01505;Op471;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000044.1
LMB90_RS01580;34673;35149;#ERROR!;LMB90_RS01580;Op850;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000044.1
LMB90_RS01705;14406;16181;-;LMB90_RS01705;Op414;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS02060;86298;87719;-;LMB90_RS02060;Op1628;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS02065;87735;88556;-;menB;Op1642;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS02095;95039;95497;-;ribH;Op1708;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS02100;95500;96681;-;ribA;Op1715;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS02105;96681;97283;-;LMB90_RS02105;Op1725;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS02110;97276;98334;-;ribD;Op1730;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS02490;69411;70751;#ERROR!;LMB90_RS02490;Op1414;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000046.1
LMB90_RS02625;17204;17920;-;budA;Op481;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000047.1
LMB90_RS03540;56337;57308;#ERROR!;LMB90_RS03540;Op1220;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000051.1
LMB90_RS03715;95326;95814;#ERROR!;LMB90_RS03715;Op1712;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000051.1
LMB90_RS03925;15213;16178;-;LMB90_RS03925;Op436;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000052.1
LMB90_RS03995;30947;31813;-;rsmI;Op768;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000052.1
LMB90_RS04435;54123;55046;#ERROR!;rbsK;Op1185;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000055.1
LMB90_RS05165;9801;10355;-;LMB90_RS05165;Op287;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000057.1
LMB90_RS05395;26795;27982;#ERROR!;metK;Op688;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05415;32878;33738;-;LMB90_RS05415;Op815;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05450;39551;40474;#ERROR!;rbsK;Op944;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05480;42846;43181;#ERROR!;folB;Op1003;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05485;43184;43696;#ERROR!;folK;Op1012;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05495;44243;45502;#ERROR!;LMB90_RS05495;Op1029;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05505;46081;47244;#ERROR!;folP;Op1059;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05530;49097;49912;-;thiD;Op1110;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05710;86835;87479;#ERROR!;LMB90_RS05710;Op1636;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS05715;87472;88086;#ERROR!;yqeK;Op1640;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000058.1
LMB90_RS06060;52892;54205;-;LMB90_RS06060;Op1171;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000059.1
LMB90_RS06095;64846;66066;-;thiI;Op1344;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000059.1
LMB90_RS06415;29261;29782;#ERROR!;coaD;Op734;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000060.1
LMB90_RS06705;79841;80620;#ERROR!;LMB90_RS06705;Op1560;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000060.1
LMB90_RS06770;96111;96482;-;LMB90_RS06770;Op1720;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000060.1
LMB90_RS06940;3785;4963;-;LMB90_RS06940;Op124;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000062.1
LMB90_RS07090;36556;37014;#ERROR!;LMB90_RS07090;Op888;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000062.1
LMB90_RS07550;30284;38218;#ERROR!;LMB90_RS07550;Op755;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000063.1
LMB90_RS07830;17751;18203;#ERROR!;LMB90_RS07830;Op495;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000064.1
LMB90_RS07865;25201;26154;#ERROR!;fmt;Op656;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000064.1
LMB90_RS07905;32980;33342;#ERROR!;LMB90_RS07905;Op818;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000064.1
LMB90_RS08065;65738;66481;-;LMB90_RS08065;Op1361;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000064.1
LMB90_RS08070;66500;67639;-;LMB90_RS08070;Op1373;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000064.1
LMB90_RS08085;70139;71017;#ERROR!;LMB90_RS08085;Op1425;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000064.1
LMB90_RS08245;22526;23566;#ERROR!;rfbB;Op597;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000065.1
LMB90_RS08335;45502;45759;#ERROR!;LMB90_RS08335;Op1053;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000065.1
LMB90_RS08610;37066;38358;#ERROR!;LMB90_RS08610;Op897;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000066.1
LMB90_RS08715;62451;63107;#ERROR!;LMB90_RS08715;Op1314;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000066.1
LMB90_RS09090;137003;138124;#ERROR!;LMB90_RS09090;Op1931;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000066.1
LMB90_RS09440;65;1312;-;LMB90_RS09440;Op25;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000068.1
LMB90_RS09670;50664;51203;#ERROR!;LMB90_RS09670;Op1134;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000068.1
LMB90_RS09905;30157;30480;#ERROR!;LMB90_RS09905;Op752;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000069.1
LMB90_RS10015;49329;49916;#ERROR!;LMB90_RS10015;Op1113;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000069.1
LMB90_RS10225;93030;94070;#ERROR!;rfbB;Op1693;Coenzyme Transport & Metabolism;NZ_JAJGVJ010000069.1
LMB90_RS00450;3341;4081;-;LMB90_RS00450;Op115;Lipid Transport & Metabolism;NZ_JAJGVJ010000030.1
LMB90_RS00520;15851;16351;#ERROR!;LMB90_RS00520;Op450;Lipid Transport & Metabolism;NZ_JAJGVJ010000030.1
LMB90_RS00935;115227;115589;#ERROR!;acpS;Op1854;Lipid Transport & Metabolism;NZ_JAJGVJ010000030.1
LMB90_RS01180;905;1669;-;fabI;Op48;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01185;1680;2456;-;LMB90_RS01185;Op62;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01190;2449;3297;-;accD;Op87;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01195;3294;4664;-;accC;Op112;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01200;4673;5107;-;fabZ;Op150;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01205;5100;5552;-;LMB90_RS01205;Op158;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01210;5559;6791;-;fabF;Op170;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01215;6802;7536;-;fabG;Op200;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01220;7520;8470;-;LMB90_RS01220;Op225;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01225;8470;8712;-;LMB90_RS01225;Op248;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01230;8732;9706;-;LMB90_RS01230;Op256;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01240;10259;10705;-;fabZ;Op304;Lipid Transport & Metabolism;NZ_JAJGVJ010000039.1
LMB90_RS01625;1778;2632;#ERROR!;LMB90_RS01625;Op70;Lipid Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS01685;8358;10682;-;LMB90_RS01685;Op246;Lipid Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS01920;58289;59239;#ERROR!;mvk;Op1251;Lipid Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS01925;59239;60210;#ERROR!;mvaD;Op1263;Lipid Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS01930;60238;61365;#ERROR!;LMB90_RS01930;Op1276;Lipid Transport & Metabolism;NZ_JAJGVJ010000045.1
LMB90_RS02305;19662;20171;#ERROR!;LMB90_RS02305;Op537;Lipid Transport & Metabolism;NZ_JAJGVJ010000046.1
LMB90_RS02425;48338;49801;#ERROR!;cls;Op1097;Lipid Transport & Metabolism;NZ_JAJGVJ010000046.1
LMB90_RS02445;58891;60069;#ERROR!;LMB90_RS02445;Op1260;Lipid Transport & Metabolism;NZ_JAJGVJ010000046.1
LMB90_RS02660;636;1649;-;LMB90_RS02660;Op43;Lipid Transport & Metabolism;NZ_JAJGVJ010000048.1
LMB90_RS02815;15532;16104;#ERROR!;LMB90_RS02815;Op444;Lipid Transport & Metabolism;NZ_JAJGVJ010000050.1
LMB90_RS02925;35471;36145;#ERROR!;LMB90_RS02925;Op868;Lipid Transport & Metabolism;NZ_JAJGVJ010000050.1
LMB90_RS03770;105212;105841;-;plsY;Op1788;Lipid Transport & Metabolism;NZ_JAJGVJ010000051.1
LMB90_RS03990;30176;30937;-;LMB90_RS03990;Op754;Lipid Transport & Metabolism;NZ_JAJGVJ010000052.1
LMB90_RS04240;10767;11783;#ERROR!;LMB90_RS04240;Op317;Lipid Transport & Metabolism;NZ_JAJGVJ010000055.1
LMB90_RS04280;19495;20001;#ERROR!;LMB90_RS04280;Op533;Lipid Transport & Metabolism;NZ_JAJGVJ010000055.1
LMB90_RS04475;62764;64629;#ERROR!;LMB90_RS04475;Op1318;Lipid Transport & Metabolism;NZ_JAJGVJ010000055.1
LMB90_RS04955;28263;29129;#ERROR!;LMB90_RS04955;Op711;Lipid Transport & Metabolism;NZ_JAJGVJ010000056.1
LMB90_RS06005;42368;42955;-;pgsA;Op994;Lipid Transport & Metabolism;NZ_JAJGVJ010000059.1
LMB90_RS06345;16282;17229;-;LMB90_RS06345;Op460;Lipid Transport & Metabolism;NZ_JAJGVJ010000060.1
LMB90_RS06635;69172;70329;#ERROR!;LMB90_RS06635;Op1410;Lipid Transport & Metabolism;NZ_JAJGVJ010000060.1
LMB90_RS06655;71724;72362;-;LMB90_RS06655;Op1449;Lipid Transport & Metabolism;NZ_JAJGVJ010000060.1
LMB90_RS06710;80640;81425;#ERROR!;LMB90_RS06710;Op1570;Lipid Transport & Metabolism;NZ_JAJGVJ010000060.1
LMB90_RS07110;39413;40294;-;LMB90_RS07110;Op938;Lipid Transport & Metabolism;NZ_JAJGVJ010000062.1
LMB90_RS07195;57094;58092;#ERROR!;LMB90_RS07195;Op1233;Lipid Transport & Metabolism;NZ_JAJGVJ010000062.1
LMB90_RS07600;64206;65174;#ERROR!;LMB90_RS07600;Op1336;Lipid Transport & Metabolism;NZ_JAJGVJ010000063.1
LMB90_RS07930;38733;39434;#ERROR!;rnc;Op933;Lipid Transport & Metabolism;NZ_JAJGVJ010000064.1
LMB90_RS07935;39451;43014;#ERROR!;smc;Op942;Lipid Transport & Metabolism;NZ_JAJGVJ010000064.1
LMB90_RS09045;127797;128720;-;cysK;Op1907;Lipid Transport & Metabolism;NZ_JAJGVJ010000066.1
LMB90_RS09225;11210;12532;-;dnaA;Op333;Lipid Transport & Metabolism;NZ_JAJGVJ010000067.1
LMB90_RS09690;55296;56240;-;LMB90_RS09690;Op1206;Lipid Transport & Metabolism;NZ_JAJGVJ010000068.1
LMB90_RS09785;3301;3876;#ERROR!;LMB90_RS09785;Op113;Lipid Transport & Metabolism;NZ_JAJGVJ010000069.1
LMB90_RS00355;20411;23206;#ERROR!;ileS;Op552;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000026.1
LMB90_RS00390;26682;27815;#ERROR!;mnmA;Op685;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000026.1
LMB90_RS00695;52335;53357;#ERROR!;trpS;Op1165;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00725;58728;60755;#ERROR!;metG;Op1255;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00735;61563;62129;#ERROR!;rnmV;Op1298;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00740;62122;63015;#ERROR!;rsmA;Op1304;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00830;80389;80634;#ERROR!;LMB90_RS00830;Op1566;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00915;111732;111971;-;dltC;Op1827;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00970;122033;122593;#ERROR!;pth;Op1890;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00980;126148;126414;#ERROR!;LMB90_RS00980;Op1900;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00990;127066;127560;#ERROR!;LMB90_RS00990;Op1904;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00995;127562;128956;#ERROR!;tilS;Op1906;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS01015;132950;133951;#ERROR!;dusB;Op1919;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS01020;133972;135489;#ERROR!;lysS;Op1923;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS01475;10325;11197;#ERROR!;LMB90_RS01475;Op305;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000044.1
LMB90_RS01530;23890;25140;#ERROR!;tyrS;Op630;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000044.1
LMB90_RS01845;43759;44670;-;LMB90_RS01845;Op1021;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000045.1
LMB90_RS01990;73188;74555;-;LMB90_RS01990;Op1473;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000045.1
LMB90_RS02195;113817;115739;-;LMB90_RS02195;Op1846;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000045.1
LMB90_RS02225;3579;4031;#ERROR!;rplI;Op119;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000046.1
LMB90_RS02315;21935;22414;#ERROR!;rlmH;Op586;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000046.1
LMB90_RS02550;472;1722;-;tyrS;Op41;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000047.1
LMB90_RS02855;23411;25267;#ERROR!;LMB90_RS02855;Op623;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03020;56944;57363;#ERROR!;rpsL;Op1230;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03025;57384;57854;#ERROR!;rpsG;Op1236;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03030;57993;60080;#ERROR!;fusA;Op1248;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03035;60512;60820;#ERROR!;rpsJ;Op1283;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03040;60869;61528;#ERROR!;rplC;Op1288;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03045;61550;62173;#ERROR!;rplD;Op1297;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03050;62173;62469;#ERROR!;rplW;Op1306;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03055;62495;63340;#ERROR!;rplB;Op1316;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03060;63381;63659;#ERROR!;rpsS;Op1325;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03065;63677;64024;#ERROR!;rplV;Op1331;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03070;64037;64702;#ERROR!;rpsC;Op1335;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03075;64706;65140;#ERROR!;rplP;Op1343;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03080;65130;65336;#ERROR!;rpmC;Op1351;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03085;65361;65627;#ERROR!;rpsQ;Op1354;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03090;65697;66065;#ERROR!;rplN;Op1360;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03095;66101;66409;#ERROR!;rplX;Op1364;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03100;66438;66980;#ERROR!;rplE;Op1372;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03105;66996;67181;#ERROR!;LMB90_RS03105;Op1378;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03110;67214;67612;#ERROR!;rpsH;Op1382;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03115;67642;68178;#ERROR!;rplF;Op1390;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03120;68241;68597;#ERROR!;rplR;Op1400;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03125;68619;69128;#ERROR!;rpsE;Op1404;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03130;69144;69326;#ERROR!;rpmD;Op1409;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03135;69358;69792;#ERROR!;rplO;Op1413;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03150;71903;72121;#ERROR!;infA;Op1452;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03155;72158;72277;#ERROR!;rpmJ;Op1455;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03160;72309;72674;#ERROR!;rpsM;Op1459;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03165;72709;73098;#ERROR!;rpsK;Op1466;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03175;74163;74546;#ERROR!;rplQ;Op1485;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03195;77251;78021;#ERROR!;truA;Op1528;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03200;78127;78570;#ERROR!;rplM;Op1540;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03205;78578;78979;#ERROR!;rpsI;Op1543;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03465;40412;41371;#ERROR!;prmA;Op958;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03470;41372;42112;#ERROR!;LMB90_RS03470;Op977;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03485;44793;45230;#ERROR!;dtd;Op1039;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03495;46671;48473;#ERROR!;aspS;Op1069;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03510;51076;51267;#ERROR!;rpsU;Op1140;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03570;61252;62238;#ERROR!;glyQ;Op1292;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03575;62240;64315;#ERROR!;glyS;Op1308;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03650;80694;81407;#ERROR!;LMB90_RS03650;Op1571;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03680;86403;87653;#ERROR!;rpsA;Op1630;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03700;91207;92418;#ERROR!;LMB90_RS03700;Op1677;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03955;21712;22743;-;tsaD;Op579;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000052.1
LMB90_RS04205;3894;4442;#ERROR!;raiA;Op130;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04215;7099;7158;#ERROR!;prfB;Op208;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04385;45267;47672;#ERROR!;rnr;Op1046;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04390;47690;48163;#ERROR!;smpB;Op1088;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04730;121975;123057;#ERROR!;prfA;Op1889;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04735;123050;123916;#ERROR!;prmC;Op1894;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04740;123922;124950;#ERROR!;LMB90_RS04740;Op1896;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS05015;39948;41360;#ERROR!;cysS;Op951;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05020;41372;41785;#ERROR!;LMB90_RS05020;Op976;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05025;41775;42524;#ERROR!;rlmB;Op980;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05030;42590;42739;#ERROR!;rpmG;Op998;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05045;43727;44152;#ERROR!;rplK;Op1020;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05050;44244;44936;#ERROR!;rplA;Op1030;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05070;49340;49840;#ERROR!;rplJ;Op1114;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05075;49903;50268;#ERROR!;rplL;Op1122;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05125;2825;4330;-;gltX;Op100;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000057.1
LMB90_RS05170;10493;10642;-;rpmG;Op306;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000057.1
LMB90_RS05205;18458;20875;-;pheT;Op513;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000057.1
LMB90_RS05210;20882;21928;-;pheS;Op560;Translation, Ribosomal Structure, & Biogenesis;NZ_JAJGVJ010000057.1
